"Actual","Predicted","Probability"
"Member","Member",0.437590050153581
"Normal","Member",0.322446872911142
"Member","Member",0.444566358166599
"Member","Member",0.425664269357506
"Member","Member",0.468402125874792
"Member","Member",0.333529186907188
"Member","Member",0.396707361210137
"Member","Member",0.449818749789603
"Member","Member",0.352489796605404
"Member","Member",0.409313291040893
"Member","Member",0.349723356899153
"Member","Member",0.336812958417063
"Member","Member",0.290844152137486
"Member","Member",0.34067024778987
"Member","Member",0.428101400276383
"Member","Member",0.421099521694823
"Member","Member",0.312308964708244
"Member","Member",0.276306700306191
"Member","Member",0.390464259413869
"Member","Member",0.342722558583175
"Member","Member",0.39864927306494
"Member","Member",0.398068398453866
"Member","Member",0.360602774031402
"Member","Member",0.245531633853179
"Normal","Member",0.348537395425412
"Normal","Member",0.38783772336593
"Member","Member",0.36449619697426
"Normal","Member",0.463247357058595
"Member","Member",0.407821565003836
"Member","Member",0.435140297659574
"Normal","Normal",0.50416739551735
"Normal","Member",0.431983290785921
"Member","Member",0.380481626774168
"Member","Normal",0.565616033585264
"Member","Normal",0.598313091491509
"Member","Normal",0.550541173387085
"Member","Normal",0.60884830418655
"Normal","Member",0.361840532558398
"Normal","Normal",0.517443839808695
"Member","Member",0.455805079467197
"Member","Member",0.485476856867308
"Normal","Normal",0.503660005704897
"Normal","Normal",0.503410148711882
"Member","Member",0.479630542813089
"Normal","Normal",0.56408039715569
"Normal","Member",0.395561524813452
"Normal","Member",0.354691232620422
"Member","Member",0.340999948161518
"Member","Normal",0.556706884938037
"Normal","Member",0.398421838987504
"Member","Normal",0.586785623990242
"Member","Member",0.450947745541577
"Normal","Member",0.469731326014573
"Member","Member",0.349740651532748
"Normal","Member",0.466182082308531
"Member","Member",0.430650169542955
"Member","Member",0.418809239027775
"Member","Member",0.422545945002816
"Member","Member",0.464785088157856
"Normal","Normal",0.564558419941403
"Member","Normal",0.520157468934638
"Member","Normal",0.607605354092322
"Normal","Normal",0.540449244008435
"Member","Member",0.382709033098087
"Member","Normal",0.540029164569217
"Member","Member",0.371167715548998
"Normal","Normal",0.646890120816083
